source,disease,type,text,meta
knowledge_graph,Hyperlipidemia,Risk Factors,"Genetics, Diet, Physical inactivity, Weight, Smoking, Age and gender, Alcohol, medical conditions: Including diabetes, hypertension, kidney diseases, and some liver diseases, can be linked to hyperlipidemia, Certain medications: Including some contraceptives, diuretics, β-blockers, and steroids, can affect blood lipid levels; etc.",{'path': 'Suspected Hyperlipidemia → Risk Factors'}
knowledge_graph,Hyperlipidemia,Symptoms,"Xanthomas, Xanthelasmas, Corneal arcus; etc.",{'path': 'Suspected Hyperlipidemia → Symptoms'}
knowledge_graph,Hyperlipidemia,Hyperlipidemia,"Total Cholesterol
    Borderline high: 200-239 mg/dL
    High: 240 mg/dL and above
LDL Cholesterol (Low-Density Lipoprotein Cholesterol)
    Borderline high: 130-159 mg/dL
    High: 160-189 mg/dL
    Very high: 190 mg/dL and above
HDL Cholesterol (High-Density Lipoprotein Cholesterol)
    Low: Less than 40 mg/dL for men and less than 50 mg/dL for women 
    High: 60 mg/dL and above
Triglycerides
    Borderline high: 150-199 mg/dL
    High: 200-499 mg/dL
    Very high: 500 mg/dL and above
",{'path': 'Hyperlipidemia'}
knowledge_graph,Stroke,Risk Factors,"hypertension, diabetes, cardiac history, smoking, hyperlipidemia, family history, atrial fibrillation, sedentary lifestyle, obesity, alcohol abuse, previous stroke or transient ischemic attack (TIA), high cholesterol, poor diet, age, gender, race, and certain medical conditions like sickle cell disease; etc.",{'path': 'Suspected Stroke → Risk Factors'}
knowledge_graph,Stroke,Symptoms,"sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, confusion, trouble speaking or understanding speech, visual disturbances in one or both eyes, difficulty walking, dizziness, loss of balance or coordination, severe headache with no known cause; etc.",{'path': 'Suspected Stroke → Symptoms'}
knowledge_graph,Stroke,Signs,"facial drooping, arm weakness, speech difficulties, vision problems, severe headache, dizziness or loss of balance, confusion, difficulty walking, numbness or paralysis on one side of the body, sudden behavioral change, and loss of consciousness",{'path': 'Suspected Stroke → Signs'}
knowledge_graph,Stroke,Ischemic Stroke,"MRI Scan (especially the DWI sequence):
    Positive DWI: Indicates ischemic damage to brain tissue at the time of scanning. On DWI, ischemic areas appear as high signal (bright white).
    ADC Images: Accompanying DWI, this sequence shows low signal (dark areas) representing restricted movement of water molecules, characteristic of early ischemia.
CT Scan:
    Early ischemic changes: Within hours of an ischemic stroke, subtle loss of cerebral cortex and narrowing of brain sulci, referred to as ""sulcal effacement"", may be observed.
    Low-density areas: Low-density areas in the brain parenchyma indicating ischemic tissue.
Carotid and Intracranial Vessel Imaging:
    Ultrasound: Carotid intima-media thickness ≥1.0 mm or visible plaque.
    CTA/MRA: Demonstrating arterial stenosis of ≥50%.
",{'path': 'Ischemic Stroke'}
knowledge_graph,Stroke,Hemorrhagic Stroke,"Non-contrast CT Scan:
    High-density areas: Typical manifestation of hemorrhagic stroke on CT is a high-density area representing fresh bleeding. The density usually ranges from 50-80 Hounsfield Units (HU).
    Hemorrhage volume: The volume and location of the bleed correlate closely with clinical manifestations; larger volumes generally have a poorer prognosis.
MRI Scan:
    T1 and T2 Weighted Imaging: Hemorrhage shows different signals on T1 and T2 sequences depending on the age of the bleed. Fresh bleeding may appear isointense or hypointense on T1 and hyperintense on T2.
    Gradient Echo Sequence (GRE): Especially sensitive to blood breakdown products, such as deoxyhemoglobin and iron, used for detecting microbleeds.
Cerebral Angiography:
    Detection of vascular abnormalities: Aneurysms, vascular malformations, or stenoses. Diagnosis of an aneurysm typically requires visualization of a typical ""saccular"" dilation.
",{'path': 'Hemorrhagic Stroke'}
knowledge_graph,Tuberculosis,Risk Factors,": Close contact with someone with infectious TB、HIV infection; Areas with high TB prevalence (geographical risk factors);Immunosuppression (e.g., corticosteroid use, organ transplant); Previous history of TB or inadequately treated TB; Socioeconomic factors: homelessness, incarceration、Substance abuse: tobacco smoking, drug use、Health care workers with exposure to TB.; etc.",{'path': 'Suspected Tuberculosis → Risk Factors'}
knowledge_graph,Tuberculosis,Symptoms,Typical: Persistent cough for more than three weeks; coughing up blood; chest pain; fever; night sweats; weight loss; fatigue. Less typical: Shortness of breath; lymphadenopathy; anorexia; etc.,{'path': 'Suspected Tuberculosis → Symptoms'}
